"Gogol_MertvieDushi" "Gogol_TarasBulba" "Lermontov_GeroyNashegoVremeni" "Lermontov_KnyaginyaLigovskaya" "Pushkin_Dubrovsky" "Pushkin_KapitanskayaDochka"
"нас" 0.0327302243984185 0.0379023743130195 0.135736908532374 0.0693703308431163 0.0872050772733879 0.234014101628981
"стал" 0.054986776989343 0.0595608739204592 0.100016669444907 0.0907150480256137 0.0968945303037644 0.151957208849988
"им" 0.0720064936765206 0.154316809703008 0.0595337318124449 0.0213447171824973 0.140497068940458 0.0668611718939947
"здесь" 0.103427509099002 0.0649754988223191 0.0928726216274141 0.0853788687299893 0.0629814446974468 0.0547045951859956
"перед" 0.0720064936765206 0.143487559899288 0.0404829376324626 0.064034151547492 0.0968945303037644 0.0911743253099927
"ведь" 0.168887957895839 0.00812193735278989 0.0857285738099207 0.016008537886873 0.0193789060607529 0.0303914417699976
"два" 0.107355136026813 0.067682811273249 0.116686114352392 0.048025613660619 0.0145341795455647 0.0516654510089959
"сказать" 0.132230106569611 0.0785120610769689 0.0476269854499559 0.048025613660619 0.0339130856063175 0.0547045951859956
"свою" 0.0589144039171533 0.0920486233316187 0.0595337318124449 0.096051227321238 0.0968945303037644 0.103330902017992
"своей" 0.0720064936765206 0.0622681863713891 0.0762031767199295 0.117395944503735 0.116273436364517 0.0577437393629954
"минуту" 0.0680788667487104 0.0324877494111595 0.0738218274474317 0.0853788687299893 0.0872050772733879 0.13068319961099
"можно" 0.0890262103636982 0.127243685193708 0.0595337318124449 0.0853788687299893 0.0145341795455647 0.0364697301239971
"бог" 0.0733157026524574 0.0622681863713891 0.0547710332674493 0.0373532550693703 0.0726708977278233 0.139800632141989
"другой" 0.0837893744599513 0.0622681863713891 0.0857285738099207 0.064034151547492 0.0678261712126351 0.0607828835399951
"всем" 0.0811709565080778 0.127243685193708 0.0333388898149692 0.048025613660619 0.0920498037885761 0.0516654510089959
"печорин" 0 0 0.109542066534899 0.645677694770544 0 0
"такой" 0.1283024796418 0.0595608739204592 0.0619150810849427 0.0533617929562433 0.0193789060607529 0.0212740092389983
"говорил" 0.0942630462674452 0.0866339984297588 0.0904912723549163 0.0426894343649947 0.0290683590911293 0.0243131534159981
"однако" 0.109973553978686 0.0297804369602296 0.0904912723549163 0.080042689434365 0.0145341795455647 0.0364697301239971
"более" 0.0994998821711922 0.0568535614695292 0.0547710332674493 0.0693703308431163 0.043602538636694 0.0547045951859956
"будто" 0.0955722552433819 0.0758047486260389 0.102398018717405 0.0373532550693703 0.00484472651518822 0.0243131534159981
"этого" 0.0706972847005839 0.0351950618620895 0.123830162169885 0.144076840981857 0.00968945303037643 0.0334305859469973
"свои" 0.0288025974706083 0.116414435389988 0.0666777796299383 0.133404482390608 0.0581367181822586 0.0668611718939947
"долго" 0.0523683590374696 0.102877873135339 0.109542066534899 0.0266808964781217 0.0387578121215057 0.0425480184779966
"казалось" 0.0746249116283941 0.0974632482334786 0.0404829376324626 0.0853788687299893 0.0290683590911293 0.0577437393629954
"нужно" 0.140085360425231 0.0785120610769689 0.00952539708999119 0.00533617929562433 0.0290683590911293 0.012156576707999
"об" 0.0733157026524574 0.0162438747055798 0.0738218274474317 0.144076840981857 0.0484472651518822 0.0638220277169949
"просто" 0.142703778377105 0.0487316241167393 0.035720239087467 0.0213447171824973 0 0.00911743253099927
"кирила" 0.00392762692781022 0 0 0 0.702485344702292 0
"много" 0.0837893744599513 0.127243685193708 0.0500083347224537 0.0373532550693703 0.0145341795455647 0.0182348650619985
"совершенно" 0.12044722578618 0.0406096867639494 0.0381015883599648 0.0533617929562433 0.0242236325759411 0.0303914417699976
"сказала" 0.0523683590374696 0.0243658120583697 0.0785845259924273 0.096051227321238 0.0387578121215057 0.118526622902991
"тот" 0.0785525385562043 0.070390123724179 0.0595337318124449 0.0426894343649947 0.0775156242430115 0.0334305859469973
"хоть" 0.0929538372915085 0.0649754988223191 0.0428642869049604 0.032017075773746 0.0387578121215057 0.0547045951859956
